,release_id,img_url,paid
38,13563322,https://i.discogs.com/R6JFqNx24KFxXyAf3UjbBYC9SPx6jkZZ53xXcNc5lwA/rs:fit/g:sm/q:90/h:598/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTEzNTYz/MzIyLTE1NzQ1Mjk5/ODQtMTUwMy5qcGVn.jpeg,18.0
39,14293235,https://i.discogs.com/usY4GoaR0MB2BBmUSXv0VcTQ003tXjwGqelrDrojN6U/rs:fit/g:sm/q:90/h:600/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTE0Mjkz/MjM1LTE1NzE2MDY3/MTMtMTgyMi5qcGVn.jpeg,
40,2030462,https://i.discogs.com/D4VxmfcOyeznLBPMwEI8vlt5jiW1TiB4Jw-5v7V-BLg/rs:fit/g:sm/q:90/h:595/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTIwMzA0/NjItMTI1OTU5MDY4/NS5qcGVn.jpeg,
41,16366020,https://i.discogs.com/kYNsYXMslNC-_fj6x-B_1F1Lc9qjddXNx7f6cYDvPKo/rs:fit/g:sm/q:90/h:600/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTE2MzY2/MDIwLTE2MDcyOTc3/NDUtODEwMi5qcGVn.jpeg,28.0
42,17539465,https://i.discogs.com/CPRJF0aD--5QcT8US1eAUhuAcG55DiYxeTgZr1EPFUo/rs:fit/g:sm/q:90/h:600/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTE3NTM5/NDY1LTE2MTQwMjMx/MTAtODU1Mi5qcGVn.jpeg,20.0
43,15517682,https://i.discogs.com/cdX3ar-pNuyXAurzfGyN8p21JoKw_3qblW4lZ6VJpe4/rs:fit/g:sm/q:90/h:600/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTE1NTE3/NjgyLTE1OTM1NTU0/MTQtMTk3MC5qcGVn.jpeg,
44,21148975,https://i.discogs.com/PsqENqT778omKZZQJjtPMtVmj7m6_H4MkmANA7k-I98/rs:fit/g:sm/q:90/h:581/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTIxMTQ4/OTc1LTE2MzgwNjgx/NjMtNDQxMC5qcGVn.jpeg,
45,19916353,https://i.discogs.com/9iY_8S_xMn5bceGg4LC-j5-7nPowtw4vlY8NbabxpOo/rs:fit/g:sm/q:90/h:963/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTE5OTE2/MzUzLTE2NjM3MjYw/NjUtMzAyNS5qcGVn.jpeg,
46,21064909,https://i.discogs.com/O4dhjbdxActLHUly4HXF5O2HPVxk0kqyzmIUNL5U0Z8/rs:fit/g:sm/q:90/h:591/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTIxMDY0/OTA5LTE2Mzc0ODQ4/NjItNDE5MC5qcGVn.jpeg,
47,26352458,https://i.discogs.com/5FWlKF-J68KtBAqiSbUbP_pXmDdTCcTQEEZw63Djazo/rs:fit/g:sm/q:90/h:450/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTI2MzUy/NDU4LTE2NzgzMjEx/OTctNTQ0NS5qcGVn.jpeg,
48,25429897,https://i.discogs.com/WluTh18oPaSPZniVWYxfyhJB5tYKlp5p8CjwCDDKucs/rs:fit/g:sm/q:90/h:586/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTI1NDI5/ODk3LTE2NzEwMDI2/NTAtMTAyNC5wbmc.jpeg,
49,2373573,https://i.discogs.com/F8bOsgZc3tTu__dIJgTvbKjKws6SSHBSm7ul4FzpdSU/rs:fit/g:sm/q:90/h:594/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTIzNzM1/NzMtMTY2MzQ2Njk4/Ni0yMzA4LmpwZWc.jpeg,
50,1242694,https://i.discogs.com/6mzO3E_WqUG2vjUkJL-i3ur1c_SIqs7MzQqFaCbYORo/rs:fit/g:sm/q:90/h:599/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTEyNDI2/OTQtMTQ5ODQ1MjQ4/NS0yNzY1Lm1wbw.jpeg,
51,14232637,https://i.discogs.com/CpPBY750OqlZ8Y_FXtcbB4oeEW7At4J5zZ-unevsKL8/rs:fit/g:sm/q:90/h:600/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTE0MjMy/NjM3LTE1NzAzNzM1/NjYtMjgyMC5qcGVn.jpeg,18.0
52,1877244,https://i.discogs.com/iPBX-9Vq8jeZFH6YnQAKeavCFpqleBQ0jYMWiGk4CL0/rs:fit/g:sm/q:90/h:403/w:450/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTE4Nzcy/NDQtMTI0OTU2NDMx/Mi5qcGVn.jpeg,
53,14697308,https://i.discogs.com/tm2fN_Xqj62r_-V2jXROFWts5x7ipSSBQ9PyyVJUQTI/rs:fit/g:sm/q:90/h:600/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTE0Njk3/MzA4LTE1Nzk4NTQ0/MjAtODkwOC5qcGVn.jpeg,
54,4792598,https://i.discogs.com/WbbD-FaktJyx7_s_qcLqdJ7Vhb3XgORro3oPrWO0ljs/rs:fit/g:sm/q:90/h:225/w:225/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTQ3OTI1/OTgtMTM3NTY5MzUy/MC0yMTMwLmpwZWc.jpeg,
55,14799251,https://i.discogs.com/rq7zERlA0XcI_ekNa90g_eYicoGjMwx1Lah_tRxNSNA/rs:fit/g:sm/q:90/h:596/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTE0Nzk5/MjUxLTE1OTc3Nzg5/MTItNTIwMi5qcGVn.jpeg,
56,21064408,https://i.discogs.com/qqUQpD5IMtK1CHUl-HaVngdTqvcG_j7GTWwl5s_65BM/rs:fit/g:sm/q:90/h:586/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTIxMDY0/NDA4LTE2Mzc0ODM3/MjUtMzc3Ni5qcGVn.jpeg,
57,24125159,https://i.discogs.com/oid9tR-st1GG3h1_ir0H5EHY4aZSd_TVkWWMdJgC3-Q/rs:fit/g:sm/q:90/h:588/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTI0MTI1/MTU5LTE2NTk4NTg1/MTItNjgyMC5qcGVn.jpeg,
58,25809013,https://i.discogs.com/qT7eS6s9xJmo7HLCB-5rTHd589mHT8Aax-bQgCxMyEc/rs:fit/g:sm/q:90/h:911/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTI1ODA5/MDEzLTE2NzQwNzEz/NDYtMzMwNi5qcGVn.jpeg,10.0
59,25363804,https://i.discogs.com/akhfYZ1q3NzBHiCk2cUiVxArDgCOoklpz_UhvMhTmIE/rs:fit/g:sm/q:90/h:947/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTI1MzYz/ODA0LTE2NzAxMzk1/NjYtOTkzMi5qcGVn.jpeg,
